Level,Date and Time,Source,Event ID,Task Category
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2885/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2886/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2887/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2888/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2889/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2890/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2891/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2892/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2893/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2894/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2895/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2896/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2897/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2898/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2899/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2900/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2901/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2902/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2903/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
