Event,EventStartTime,EventEndTime
Windows Error Reporting,1900-01-01 09:34:14.542497,1900-01-01 09:34:54.371341
Application Error,1900-01-01 09:34:54.371341,1900-01-01 09:34:54.646185
Windows Error Reporting,1900-01-01 09:34:54.646185,1900-01-01 09:37:41.254870
Microsoft-Windows-Security-SPP,1900-01-01 09:37:41.254870,1900-01-01 09:43:16.299561
SecurityCenter,1900-01-01 09:43:16.299561,1900-01-01 09:53:38.693134
Application Error,1900-01-01 09:53:38.693134,1900-01-01 09:53:38.979447
Windows Error Reporting,1900-01-01 09:53:38.979447,1900-01-01 09:53:39.488346
Application Error,1900-01-01 09:53:39.488346,1900-01-01 09:53:39.761129
Windows Error Reporting,1900-01-01 09:53:39.761129,1900-01-01 09:53:40.269778
Application Error,1900-01-01 09:53:40.269778,1900-01-01 09:53:40.556769
Windows Error Reporting,1900-01-01 09:53:40.556769,1900-01-01 09:53:41.832712
Application Error,1900-01-01 09:53:41.832712,1900-01-01 09:53:42.142765
Windows Error Reporting,1900-01-01 09:53:42.142765,1900-01-01 09:53:45.569283
Application Error,1900-01-01 09:53:45.569283,1900-01-01 09:53:45.842628
Windows Error Reporting,1900-01-01 09:53:45.842628,1900-01-01 09:53:47.796498
Application Error,1900-01-01 09:53:47.796498,1900-01-01 09:53:48.109936
Windows Error Reporting,1900-01-01 09:53:48.109936,1900-01-01 09:53:51.475348
Application Error,1900-01-01 09:53:51.475348,1900-01-01 09:53:51.818879
Windows Error Reporting,1900-01-01 09:53:51.818879,1900-01-01 09:53:52.381037
Application Error,1900-01-01 09:53:52.381037,1900-01-01 09:53:52.732937
Windows Error Reporting,1900-01-01 09:53:52.732937,1900-01-01 10:03:23.629262
ESENT,1900-01-01 10:03:23.629262,1900-01-01 10:03:25.514281
Application Error,1900-01-01 10:03:25.514281,1900-01-01 10:03:25.838612
Windows Error Reporting,1900-01-01 10:03:25.838612,1900-01-01 10:03:35.232317
Application Error,1900-01-01 10:03:35.232317,1900-01-01 10:03:35.498499
Windows Error Reporting,1900-01-01 10:03:35.498499,1900-01-01 10:18:53.883583
Application Error,1900-01-01 10:18:53.883583,1900-01-01 10:18:54.161161
Windows Error Reporting,1900-01-01 10:18:54.161161,1900-01-01 10:56:31.747511
Application Error,1900-01-01 10:56:31.747511,1900-01-01 10:56:32.029085
Windows Error Reporting,1900-01-01 10:56:32.029085,1900-01-01 10:56:33.732616
Application Error,1900-01-01 10:56:33.732616,1900-01-01 10:56:33.850439
Windows Error Reporting,1900-01-01 10:56:33.850439,1900-01-01 10:56:34.824801
Application Error,1900-01-01 10:56:34.824801,1900-01-01 10:56:35.097213
Windows Error Reporting,1900-01-01 10:56:35.097213,1900-01-01 10:56:47.743825
Application Error,1900-01-01 10:56:47.743825,1900-01-01 10:56:48.081637
Windows Error Reporting,1900-01-01 10:56:48.081637,1900-01-01 11:08:01.203591
